年级,院系名称,院系号,专业名称,修读类型,方案名称,方案计划号,课程总门数,课程总学分,要求总学分,课程总学时,学制类型,学科目录,主要课程
2019,化学工程学院,308,过程装备与控制工程（卓越工程师班）,主修,过程装备与控制工程（卓越工程师班）培养方案,5529,93,208,175,3800,本科（四年制）,工学,理论力学、材料力学、机械设计、化工原理、过程装备工程材料、工程流体力学、过程机器、压力容器设计、过程设备设计、过程自动控制原理、过程装备制造技术
2019,化学工程学院,308,工科试验班（动力装备与安全）,主修,工科试验班（动力装备与安全）培养方案,5555,81,185,175,3424,本科（四年制）,工学,
2019,化学工程学院,308,过程装备与控制工程,主修,过程装备与控制工程培养方案,5530,92,206,175,3768,本科（四年制）,工学,理论力学、材料力学、机械设计、化工原理、过程装备工程材料、工程流体力学、过程机器、压力容器设计、过程设备设计、过程自动控制原理、过程装备制造技术
2019,化学工程学院,308,化学工程与工艺,主修,化学工程与工艺培养方案,5531,116,234.5,173,4436,本科（四年制）,工学,物理化学、化工原理、化工热力学、化学反应工程、化工过程分析与合成、化工设计、化学工艺学、现代分离技术、化工专业实验、化工设备机械基础。
2019,化学工程学院,308,制药工程,主修,制药工程培养方案,5532,98,191.5,170,3552,本科（四年制）,工学,生理药理学、药物与精细有机品合成、药物化学、天然产物技术、工业药剂学、化学制药工艺学、制药分离工程、药品生产质量工程、药物分析及制药过程监控、生物制药、制药工程设计、技术经济及项目管理、EHS导论
2019,化学工程学院,308,化学工程与工艺（卓越工程师班）,主修,化学工程与工艺（卓越工程师）培养方案,5533,118,237.5,174,4532,本科（四年制）,工学,物理化学、化工原理、化工热力学、化学反应工程、化工过程分析与合成、化工设计、化学工艺学、现代分离技术、化工专业实验、化工设备机械基础
2019,化学工程学院,308,制药工程（卓越工程师班）,主修,制药工程（卓越工程师班）培养方案,5534,101,195.5,174.5,3616,本科（四年制）,工学,生理药理学、药物与精细有机品合成、药物化学、天然产物技术、工业药剂学、化学制药工艺学、制药分离工程、药品生产质量工程、药物分析及制药过程监控、生物制药、制药工程设计、技术经济及项目管理、EHS导论
2019,化学工程学院,308,工科试验班（绿色化工与生物医药）,主修,工科试验班（绿色化工与生物医药）培养方案,5525,37,71.5,62,1360,本科（四年制）,工学,
2019,化学工程学院,308,生物工程,主修,生物工程培养方案,5535,102,200.5,174.5,3710,本科（四年制）,工学,近代化学基础、化工原理、物理化学、生物化学、微生物学、现代生物学基础、分子与细胞生物学、生物环保与安全、生物反应工程、基因工程、生物分离工程、发酵工程、生物工程设备及过程控制、生物工程设计、技术经济及项目管理
2019,轻工科学与工程学院,309,食品科学与工程,主修,食品科学与工程培养方案,5508,104,213,175,3892,本科（四年制）,工学,生物化学、微生物学、食品化学、食品工艺学、化工原理、食品营养学、食品工厂设计与环境保护、食品分析、食品工业设备与机械、食品安全学
2019,轻工科学与工程学院,309,轻工类,主修,轻工类培养方案,5434,44,90,175,1680,本科（四年制）,工学,
2019,轻工科学与工程学院,309,轻化工程（皮革工程方向）,主修,轻化工程 培养方案,5510,109,230,175,4112,本科（四年制）,工学,制革工艺学、毛皮工艺学、鞣制化学、皮革化工材料学、皮革机械设备、皮革专业外语、生皮蛋白质化学及组织学
2019,轻工科学与工程学院,309,轻化工程（皮革工程方向）（卓越工程师班）,主修,轻化工程 （卓越工程师）培养方案,5325,95,202,175,3616,本科（四年制）,工学,制革工艺学、毛皮工艺学、鞣制化学、皮革化工材料学、皮革机械设备、皮革专业外语、生皮蛋白质化学及组织学
2019,轻工科学与工程学院,309,食品科学与工程（卓越工程师班）,主修,食品科学与工程（卓越工程师）培养方案,5512,88,185,175,3396,本科（四年制）,工学,生物化学、微生物学、食品化学、食品工艺学、化工原理、食品营养学、食品工厂设计与环境保护、食品分析、食品工业设备与机械、食品安全学
2019,轻工科学与工程学院,309,生物工程（轻工生物方向）,主修,生物工程（轻工生物方向）培养方案,5513,105,217,175,3922,本科（四年制）,工学,近代化学基础、化工原理、物理化学、生物化学、微生物学、生物环保与安全、生物反应工程、生物分离工程、基因工程、发酵过程、生物工程设备及过程控制、生物工程设计、生物信息技术
2019,轻工科学与工程学院,309,服装与服饰设计,主修,服装与服饰设计培养方案,5514,83,193.5,160,3340,本科（四年制）,艺术学,纺织与服装概论、设计素描、表现色彩、纺织与服装材料、服装立体裁剪、时装画技法与展示、服装结构设计与制衣工艺、服装CAD-设计（全英文）、服装历史与发展趋势、服装市场营销、时装设计作品集制作、女装结构设计与制作工艺、服装创意设计、男装结构设计与制作工艺、童装结构设计与制作工艺
2019,生物医学工程学院,310,医学信息工程,主修,医学信息工程培养方案,9233,75,167.5,175,3216,本科（四年制）,,
2019,生物医学工程学院,310,医学信息工程（卓越工程师班）,主修,医学信息工程（卓越工程师班）培养方案,10234,76,168.5,175,3232,本科（四年制）,,
2019,生物医学工程学院,310,生物医学工程（生物材料与人工器官方向）,主修,生物医学工程（生物材料与人工器官方向）培养方案,8432,92,195,175,3546,本科（四年制）,,
2019,生物医学工程学院,310,生物医学工程（生物医学图像仪器、生物力学方向）,主修,生物医学工程（生物医学图像仪器、生物力学）培养方案,8433,88,194,175,3572,本科（四年制）,,
2019,软件学院,311,软件工程,主修,软件工程培养方案,5515,117,291,167,5068,本科（四年制）,工学,程序设计基础、计算机系统导论、面向对象程序设计导论、数据结构与算法、计算机组成和体系结构、操作系统和系统编程、数据库系统和信息管理、软件工程导论、计算机网络和分布式系统、软件开发环境与工具、软件需求分析、软件设计与体系结构、软件构造、软件工程社会和职业问题、软件过程与管理、软件工程经济学、软件项目管理
2019,软件学院,311,软件工程（双学位）,辅修,软件工程（辅修学位）培养方案,8521,20,67,50,1204,双学位（二年半制）,,
2019,软件学院,311,软件工程（英语）,主修,软件工程（英语）培养方案,5384,37,119,120,2000,本科（四年制）,工学,
2019,软件学院,311,软件工程（卓越工程师班）,主修,软件工程（卓越工程师）培养方案,5516,104,260,167,4516,本科（四年制）,工学,程序设计基础、计算机系统导论、面向对象程序设计导论、数据结构与算法、计算机组成和体系结构、操作系统和系统编程、数据库系统和信息管理、软件工程导论、计算机网络和分布式系统、软件开发环境与工具、软件需求分析、软件设计与体系结构、软件构造、软件工程社会和职业问题、软件过程与管理、软件工程经济学、软件项目管理
2019,匹兹堡学院,312,机械设计制造及其自动化（国际合作）,主修,机械设计制造及其自动化（国际合作）培养方案,5339,69,182,164,3088,本科（四年制）,工学,
2019,匹兹堡学院,312,材料科学与工程（国际合作）,主修,材料科学与工程（国际合作）培养方案,5338,69,181,169,3072,本科（四年制）,,
2019,匹兹堡学院,312,工业工程（国际合作）,主修,工业工程（国际合作）培养方案,4627,68,180,165,3056,本科（四年制）,工学,
2019,空天科学与工程学院,313,航空航天类,主修,航空航天类培养方案,5398,30,64,170,1192,本科（四年制）,工学,
2019,空天科学与工程学院,313,航空航天工程,主修,航空航天工程培养方案,5518,96,215,171,3836,本科（四年制）,工学,航空航天概论、航空航天材料工程、飞行器总体设计、空气动力学（I）（全英文）、空气动力学（II）（全英文）、飞行器结构设计、自动控制原理、飞行力学、飞行器制造技术基础、飞行器结构力学、弹性力学与有限元方法、推进原理与技术、航空发动机构造
2019,空天科学与工程学院,313,飞行器控制与信息工程,主修,飞行器控制与信息工程培养方案,5517,102,233,169,4108,本科（四年制）,工学,航空航天概论、飞行器总体设计、微机原理与接口技术、自动控制原理、导航原理、现代控制理论、空气动力学、数字信号处理、飞行力学
2019,网络空间安全学院,314,网络空间安全,主修,网络空间安全培养方案,5519,82,200,167,3580,本科（四年制）,工学,离散数学、程序设计基础、面向对象程序设计导论、数字逻辑：应用与设计、数据结构与算法、计算机组成和体系结构、操作系统及安全、计算机网络与通信、网络空间安全技术、应用密码学、网络安全、信息系统安全、信息内容安全、信息隐藏、数字取证、云计算及安全、软件安全、网络攻防技术、恶意代码分析技术、渗透测试技术
2019,公共管理学院,401,哲学,主修,哲学培养方案,5417,80,166,160,2883,本科（四年制）,哲学,逻辑学导论、古代汉语、哲学导论、中国哲学史、西方哲学史、伦理学导论、宗教哲学导论、马克思主义哲学史、科学哲学导论（全英文）、中国哲学原著研读、中国哲学原著研读
2019,公共管理学院,401,哲学（双学位）,辅修,哲学（辅修学位）培养方案,8523,0,0,60,0,双学位（二年半制）,,
2019,公共管理学院,401,哲学（试验班）,主修,哲学（试验班）培养方案,5647,75,168,165,2920,本科（四年制）,,逻辑学导论、古代汉语、哲学导论、中国哲学史、西方哲学史、伦理学导论、宗教哲学导论、马克思主义哲学史、科学哲学导论（全英文）、中国哲学原著研读、中国哲学原著研读
2019,公共管理学院,401,哲学（拔尖计划）,主修,哲学（拔尖计划）培养方案,8335,81,175,165,3032,本科（四年制）,哲学,
2019,公共管理学院,401,社会工作,主修,社会工作培养方案,5419,71,160,150,2804,本科（四年制）,法学,社会工作导论、社会学概论、社会保障学、社会统计学、社会政策概论、社会工作理论、西方社会学理论、社会调查研究方法、社会心理学、人类行为与社会环境、社会工作行政与管理、个案社会工作、小组社会工作、社区社会工作、现代社会福利思想
2019,公共管理学院,401,公共管理类,主修,公共管理类培养方案,5420,37,79,150,1444,本科（四年制）,管理学,
2019,公共管理学院,401,行政管理,主修,行政管理培养方案,5363,68,157,150,2756,本科（四年制）,管理学,管理学原理、西方经济学、管理心理学、公共行政学、行政法学、地方政府管理、人力资源管理、公共经济学、政治思想史、秘书学、公共政策、公共关系、公务员制度、电子政务、中国政府与政治
2019,公共管理学院,401,劳动与社会保障,主修,劳动与社会保障培养方案,5487,73,171,150,2980,本科（四年制）,管理学,管理学原理、劳动经济学、社会保障学、社会保险基金管理、社会保障制度国际比较、劳动法与社会保障法、人力资源开发与管理、社会福利与社会救助、风险管理、公共政策分析、保险学
2019,公共管理学院,401,土地资源管理,主修,土地资源管理培养方案,5488,72,168,150,2932,本科（四年制）,管理学,土地管理学、土地经济学、土地利用规划学、土地法学、地籍管理、土地信息系统、测量学、土地利用工程、房地产开发经营与管理、房地产估价
2019,公共管理学院,401,档案学,主修,档案学培养方案,5489,65,144,150,2548,本科（四年制）,管理学,信息资源管理基础、档案学概论、文书学、公文写作、档案管理学、科技档案管理、电子文件管理、文献保护学、档案文献编纂学、中外档案事业史
2019,公共管理学院,401,信息资源管理,主修,信息资源管理培养方案,5418,66,150,150,2670,本科（四年制）,管理学,
2019,公共管理学院,401,信息管理类,主修,信息管理类,5520,40,85,175,1550,本科（四年制）,,
2019,商学院,402,工业工程,主修,工业工程培养方案,5452,85,176,165,3252,本科（四年制）,管理学,工业工程导论、机械制造基础、系统工程、设施规划与物流分析、先进制造系统、工程经济学、生产计划与控制、质量管理、工程经济学、人因工程、系统仿真、工作研究、智能调度算法及应用
2019,商学院,402,工商管理类,主修,工商管理类培养方案,5414,32,66,155,1204,本科（四年制）,管理学,
2019,商学院,402,市场营销,主修,市场营销培养方案,5421,89,177,155,3140,本科（四年制）,管理学,市场营销、营销战略、品牌管理、市场调查、消费者行为分析、计量经济学、销售管理、营销策划、营销工程与应用、营销研究方法与运用、国际市场营销、商业数据挖掘
2019,商学院,402,财务管理,主修,财务管理培养方案,5392,83,171,155,3092,本科（四年制）,管理学,财务管理（全英文）、货币金融学（全英文）、投资学、国际金融、金融衍生工具、金融财务前沿问题研究、财务报表分析、风险管理、财务会计、创业投资与私募股权
2019,商学院,402,财务管理（双学位）,辅修,财务管理（辅修学位）培养方案,8522,32,74,60,1252,双学位（二年半制）,,
2019,商学院,402,人力资源管理,主修,人力资源管理培养方案,5413,84,170,155,3028,本科（四年制）,管理学,人力资源管理、组织行为学、劳动经济学、人力资源战略与规划、人才测评、职务分析、职业生涯管理、人力资源培训与开发、绩效与薪酬管理、劳动关系管理、人力资本管理、人力资源管理前沿
2019,商学院,402,会计学（ACCA班）,主修,会计学（ACCA班）培养方案,4633,79,185,160,3268,本科（四年制）,管理学,会计理论、会计学原理、中级财务会计、高级财务会计、成本会计、管理会计、财务管理、审计学、会计职业道德
2019,商学院,402,人力资源管理（高水平运动员）,主修,人力资源管理（高水平运动员）培养方案,5432,84,168.5,155,3020,本科（四年制）,管理学,
2019,灾后重建与管理学院,403,国际减灾与应急管理创新班,主修,国际减灾与应急管理创新班培养方案,8310,2,4,0,-96,本科（四年制）,,国际减灾战略与应急管理、全球气候变化与自然灾害、国际化跨学科项目制科研训练-科学研究设计、安全知识与应急基本技能、全球卫生应急与风险管理、国际化跨学科项目制科研训练-论文写作、国际化跨学科项目制科研训练-方法与工具、防灾减灾工程与大数据技术等
2019,华西基础医学与法医学院,501,基础医学（基地班）,主修,基础医学（基地班）培养方案,5330,120,304,225,5451,本科（五年制）,医学,人体解剖学、组织学与胚胎学、细胞生物学、生理学、生物化学、药理学、病理生理学、病理学、医学免疫学、医学微生物学、生物分子基础实验、形态学实验、机能学实验、内科学、外科学。
2019,华西基础医学与法医学院,501,基础医学（试验班）,主修,基础医学（试验班）培养方案,5651,119,307,225,5499,本科（五年制）,医学,
2019,华西基础医学与法医学院,501,基础医学（拔尖计划）,主修,基础医学（拔尖计划）培养方案,8332,117,302,227,5419,本科（五年制）,医学,
2019,华西基础医学与法医学院,501,法医学,主修,法医学培养方案,5331,131,316,225,5768,本科（五年制）,医学,人体解剖学、病理学、生物化学、内科学、外科学、刑事诉讼法、刑事科学技术、法医病理学、法医毒理学、法医临床学、法医物证学、法医精神病学、法医毒物分析。
2019,华西临床医学院,502,临床医学,主修,临床医学培养方案,5356,113,250,235,4816,本科（五年制）,医学,人体解剖学、组织胚胎学、生理学、病理生理学、病理学、诊断学、内科学、外科学（系统整合临床课程）、妇产科学、儿科、中医学、循证医学、全科医学概论
2019,华西临床医学院,502,临床医学（八年制）,主修,临床医学（八年制）培养方案,5388,128,369.5,365,7278,本科（八年制）,医学,解剖学（人体形态学模块）、组织胚胎学、生物化学、生理学、病理学、病理生理学、诊断学、科研能力培养模块、健康与社会模块、整合内科学、外科学（各器官系统疾病）、妇产科学、儿科学、全科医学概论等
2019,华西临床医学院,502,临床医学（八年制创新班）,主修,临床医学（八年制创新班）培养方案,9153,101,316.5,365,6376,本科（八年制）,,解剖学（人体形态学模块）、组织胚胎学、生物化学、生理学、病理学、病理生理学、诊断学、科研能力培养模块、健康与社会模块、整合内科学、外科学（各器官系统疾病）、妇产科学、儿科学、全科医学概论等
2019,华西临床医学院,502,眼视光学,主修,眼视光学培养方案,5395,75,185,180,3629,本科（四年制）,医学,人体解剖学、生理学、病理生理学、病理学、诊断学、内科学、外科学（系统整合临床课程）、生理光学、眼视光应用光学、视光学原理和方法、眼镜光学、角膜接触镜学、双眼视和眼球运动异常、眼视光学特殊检查诊断学、眼科学。
2019,华西临床医学院,502,康复治疗学（物理治疗方向）,主修,康复治疗学（物理治疗）培养方案,4631,74,183.5,173,3710,本科（四年制）,医学,功能解剖(双语)、社区生活独立技巧和伤残管理(全英文课程)、练习与运动科学(双语)、理疗物理治疗临床科学与实践(双语)、物理治疗从业基础(双语)、人体运动学(双语)、骨骼肌肉系统物理治疗临床科学与实践I&II(双语)、心肺系统物理治疗临床科学与实践(双语)、临床神经科学(双语)、儿童神经与发育障碍的物理治疗管理(双语)、成人神经障碍的物理治疗管理(双语)
2019,华西临床医学院,502,康复治疗学（作业治疗方向）,主修,康复治疗学（作业治疗）培养方案,4618,76,180,175,3833,本科（四年制）,医学,系统整合临床课程（Ⅲ）-1、系统整合临床课程（Ⅲ）-2、社区生活独立技巧和伤残管理(双语)、临床医学及神经病学(双语)、临床发育障碍学(双语)、临床精神病学(双语)、作业治疗之身心功能基础学(双语)、临床骨骼肌肉学(双语)、作业治疗理论与实践I&II(双语)、心理社会功能障碍的作业治疗、躯体功能障碍的作业治疗II-神经康复、躯体功能障碍的作业治疗I-骨骼肌肉康复(双语)、环境问题的作业治疗(双语)、发育障碍的作业治疗(双语)、职业康复(双语)
2019,华西临床医学院,502,护理学,主修,护理学培养方案,5436,73,165,168,3251,本科（四年制）,医学,护理学导论、护理学基础、健康评估、母婴护理学、儿科护理学、成人护理、社区护理学、危急重症护理学、老年护理学、精神病护理学、心理护理学、护理管理学、护理教育学、护理研究、护理伦理学、护理人际沟通与礼仪
2019,华西临床医学院,502,医学技术类,主修,医学技术类培养方案,5357,32,65,175,1154,本科（四年制）,医学,大学物理学、医科数学、系统解剖学、生理学、生物化学、病理生理、病理、诊断学等
2019,华西临床医学院,502,医学检验技术,主修,医学检验技术培养方案,5442,78,191.5,180,3827,本科（四年制）,医学,诊断学（Ⅱ）、临床基础检验技术、临床生物化学检验技术、临床实验室管理、临床输血学检验技术、临床分子生物学检验技术、临床血液学检验技术、临床微生物学检验技术、临床免疫学检验技术、临床检验仪器与技术、临床科研设计、检验医学进展（全英文）
2019,华西临床医学院,502,医学影像技术,主修,医学影像技术培养方案,5385,76,186,171,3634,本科（四年制）,医学,人体解剖学、医学影像物理学、生理学、病理生理学、病理学、诊断学、内科学、外科学（系统整合临床课程）、摄影学成像原理、医学影像信息学、影像设备学、现代成像技术、整合影像技术、超声检查学、临床核医学。
2019,华西临床医学院,502,医学影像技术（放射治疗技术方向）,主修,医学影像技术（放射治疗技术）培养方案,5397,85,215,181,4155,本科（四年制）,,人体解剖学、医学影像物理学、生理学、病理生理学、病理学、诊断学、内科学、外科学（系统整合临床课程）、摄影学成像原理、、影像设备学、现代成像技术、超声检查学、临床核医学、肿瘤学基础、放射治疗设备原理、肿瘤放射治疗技术、现代放疗技术现状和未来等。
2019,华西临床医学院,502,医学影像技术（超声医学技术方向）,主修,医学影像技术（超声医学技术方向）培养方案,5429,75,182,174,3806,本科（四年制）,医学,
2019,华西临床医学院,502,康复治疗学（呼吸治疗方向）,主修,康复治疗学（呼吸治疗方向）培养方案,5372,74,191.5,186,3737,本科（四年制）,医学,呼吸生理与肺功能学、呼吸治疗学、呼吸治疗设备学、机械通气、重症医学、呼吸治疗新进展等
2019,华西临床医学院,502,康复治疗学（听力与言语康复方向）,主修,康复治疗学（听力与言语康复方向）培养方案,5361,73,180.5,174,3571,本科（四年制）,,听力与言语科学基础（含声学基础、听觉言语解剖与生理）、诊断听力学、儿童听力学、听觉装置（助听器学、植入性及非植入性听觉装置）、言语语言康复学、耳鸣眩晕康复学、耳鼻咽喉科学（Ⅱ）、医学影像诊断学（Ⅱ）、系统整合临床课程（Ⅲ）-1、系统整合临床课程（Ⅲ）-2
2019,华西临床医学院,502,护理学（助产方向）,主修,护理学（助产方向）培养方案,5416,76,172,176,3379,本科（四年制）,医学,
2019,华西口腔医学院,503,临床医学（口腔医学方向）,主修,临床医学（口腔医学）培养方案,5433,105,299,304,6872,本科（八年制）,医学,口腔解剖生理学、口腔组织病理学、口腔材料学、口腔颌面影像诊断学、牙合学、牙体牙髓病学、牙周病学、口腔黏膜病学、口腔颌面外科学、口腔修复学、口腔正畸学。后期按规定选修研究生专业课程。
2019,华西口腔医学院,503,口腔医学,主修,口腔医学培养方案,5358,94,217,171.5,4408,本科（五年制）,医学,口腔解剖生理学、口腔组织病理学、牙体牙髓病学、牙周病学、口腔黏膜病学、口腔颌面外科学、口腔修复学、口腔正畸学。
2019,华西口腔医学院,503,口腔医学技术,主修,口腔医学技术培养方案,4622,73,172.5,170,3496,本科（四年制）,医学,口腔解剖生理学、口腔材料学、口腔临床医学、口腔修复学、固定义齿工艺学、可摘局部义齿工艺学、全口义齿工艺学、活动矫治器工艺学、种植义齿工艺学。
2019,华西公共卫生学院,504,预防医学,主修,预防医学培养方案,5334,114,243,225,4514,本科（五年制）,医学,流行病学、卫生统计学、健康教育学、职业与健康、环境与康、营养食品与健康、卫生政策与管理、毒理学基础、妇幼与青少年健康
2019,华西公共卫生学院,504,食品卫生与营养学,主修,食品卫生与营养学培养方案,5466,87,182,175,3207,本科（四年制）,,基础营养学、公共营养学、特殊人群营养、临床营养学、营养教育、营养流行病学、食品科学、食品卫生学、膳食制备与餐饮管理、食品安全监督管理、食品微生物学、食品毒理学、流行病学、卫生统计学
2019,华西公共卫生学院,504,卫生检验与检疫,主修,卫生检验与检疫培养方案,5335,92,192.5,175,3313,本科（四年制）,医学,分析化学、仪器分析、卫生微生物、病原生物学、食品理化检验、空气理化检验、水质理化检验、生物材料检验、病毒学检验、免疫学检验、临床检验、细菌学检验、检验检疫
2019,华西药学院,505,药学,主修,药学培养方案,5359,115,231.5,179,4444,本科（四年制）,医学,有机化学、物理化学、生物化学、医学微生物学、病理生理学、药物化学、药剂学、药理学、药物分析、药事管理学、药用植物学及相应实验课程等等。
2019,华西药学院,505,临床药学,主修,临床药学（五年制）培养方案,5336,100,221,219.5,4376,本科（五年制）,医学,有机化学、系统解剖学、医学免疫学、药剂学、药理学、药源性疾病与预防、临床药物治疗学、内科学、外科学总论、药事法规、实践环节等
2019,数学学院与经济学院,602,数学经济创新班,主修,数学经济创新班培养方案,5403,87,215,180,3742,本科（四年制）,理学,
2019,吴玉章学院,603,吴玉章学院专业,主修,吴玉章学院培养方案,5360,63,111,0,2084,本科（四年制）,,
2019,生物治疗国家重点实验室,604,华西生物国重创新班,主修,华西生物国重创新班培养方案,5364,10,30,10,320,本科（四年制）,,
2019,预科教育,701,少数民族预科（文科）,主修,少数民族预科（文科）培养方案,4619,18,42,49,704,预科（一年制）,其它,
2019,预科教育,701,少数民族预科（理科）,主修,少数民族预科（理科）培养方案,4620,18,42,49,704,预科（一年制）,其它,
2019,国际交流暑期学院,991,国际交流,主修,国际交流培养方案,5343,0,0,39,0,本科（四年制）,,
2020,艺术学院,101,美术学,主修,美术学培养方案,8091,71,188,165,3188,本科（四年制）,艺术学,艺术概论、中国美术史、外国美术史、美术史原著导读、中国画论、美术考古、美术摄影基础、中国工艺美术史研究、美术史方法论。
2020,艺术学院,101,广播电视编导,主修,广播电视编导培养方案,8023,84,196,165,4088,本科（四年制）,艺术学,《艺术概论》、《经典影片分析》、《摄影与摄像》、《视听语言》、《微电影创作》、《电竞编导》、《影视文学创作》、《编导基础》《影视美术基础》、《编导基础》、《剪辑理论与实践》
2020,艺术学院,101,音乐表演（声乐）,主修,音乐表演（声乐）培养方案,8021,89,175,165,3028,本科（四年制）,艺术学,西方音乐史、中国音乐史、基础乐理、基础和声、民族音乐概论、曲式与作品分析、音乐美学、声乐演唱、视唱练耳、钢琴
2020,艺术学院,101,舞蹈表演,主修,舞蹈表演培养方案,8024,75,163,165,3684,本科（四年制）,艺术学,舞蹈表演、芭蕾基本功、古典舞基本功、中国舞蹈史、外国舞蹈史、舞蹈教学法、民间舞、古典舞身韵、教学剧目、舞蹈编导、基础乐理、艺术概论
2020,艺术学院,101,绘画,主修,绘画培养方案,8025,72,173,165,2964,本科（四年制）,艺术学,素描、色彩、绘画透视学、艺用人体解剖结构学、油画（古典绘画技法研究、静物技法研究、风景技法研究、肖像技法研究、人体技法研究）、超级写实绘画技法研究、现当代造型艺术、综合材料综合艺术研究、绘画（油画）创作
2020,艺术学院,101,书法学,主修,书法学培养方案,8026,66,165,165,2792,本科（四年制）,,篆书临摹说创作、隶书临摹与创作、楷书临摹与创作、行书临摹与创作、草书临摹与创作、篆刻临摹与创作、中国书法史、中国书法鉴赏、文艺学、书法美学
2020,艺术学院,101,中国画,主修,中国画培养方案,8039,64,172,165,2932,本科（四年制）,艺术学,素描，色彩，山水（水墨、重彩），花鸟（水墨、重彩），人物（水墨、重彩），写生（花鸟、山水、人物）
2020,艺术学院,101,视觉传达设计,主修,视觉传达设计培养方案,8040,60,170,165,2932,本科（四年制）,艺术学,广告设计、包装设计、书籍装帧、品牌形象设计、版式设计、字体设计、图形创意、传统装饰艺术与图案设计
2020,艺术学院,101,环境设计,主修,环境设计培养方案,8090,70,175,165,2988,本科（四年制）,艺术学,景观规划设计、景观建筑设计、建筑空间与室内设计、陈设与装饰设计、公共环境艺术设计、材料艺术与工程设计基础、光环境设计
2020,经济学院,102,经济学,主修,经济学培养方案,8041,81,177,160,3146,本科（四年制）,经济学,政治经济学、微观经济学、宏观经济学、金融学、财政学、会计学、统计学、计量经济学、中国特色社会主义政治经济学、《资本论》选读、经济史、经济思想史、产业经济学、环境与资源经济学、发展经济学、经济学方法论、新制度经济学（全英文）、社会主义市场经济理论
2020,经济学院,102,经济学（双学位）,辅修,经济学（辅修学位）培养方案,9490,17,64,64,1042,双学位（二年半制）,,
2020,经济学院,102,经济学（拔尖计划）,主修,经济学（拔尖计划）培养方案,8312,86,193,169,3398,本科（四年制）,经济学,
2020,经济学院,102,国际经济与贸易,主修,国际经济与贸易培养方案,8124,80,182,160,3226,本科（四年制）,经济学,国际贸易学、国际经济学、世界经济（全英文）、国际商法、国际市场营销、国际结算、国际商务、国际贸易实务、商务谈判、跨国公司经营与管理
2020,经济学院,102,财政学,主修,财政学培养方案,8042,75,168,160,3002,本科（四年制）,经济学,中国税制、政府预算、财政管理、地方财政学（全英文）、财税理论前沿、国际税收、财政制度比较研究、投资项目评估、税收筹划等。
2020,经济学院,102,金融学,主修,金融学培养方案,8125,69,164,160,2946,本科（四年制）,经济学,微观经济学、宏观经济学、政治经济学、中国特色社会主义经济学、计量经济学、财政学、金融学、会计学、统计学、金融经济学、公司金融、国际金融、金融市场学、投资银行理论与实务、商业银行业务与经营（全英文）、金融风险管理、金融计量学、财务报表分析、证券投资学
2020,经济学院,102,国民经济管理,主修,国民经济管理培养方案,8147,77,173,160,3082,本科（四年制）,经济学,政治经济学、微观经济学、宏观经济学、金融学、财政学、会计学、统计学、计量经济学、国民经济管理、人力资源管理、区域经济学、产业经济学、国民经济核算、财务管理、发展经济学、宏观经济分析模型与方法、证券投资学、管理学、运筹学等。
2020,经济学院,102,金融工程,主修,金融工程培养方案,8148,70,165,160,2964,本科（四年制）,经济学,金融经济学、金融工程学、公司金融学、证券投资学、金融风险管理、金融计量学、国际金融学（全英文）、金融随机过程、金融资产定价、金融工程实验、固定收益证券、金融数学、行为金融学、投资银行理论与实务、财务报表分析、金融大数据、金融工程理论前沿
2020,经济学院,102,经济学类,主修,经济学类培养方案,8114,40,86,160,1556,本科（四年制）,经济学,
2020,经济学院,102,金融学类,主修,金融学类培养方案,8126,35,83,160,1508,本科（四年制）,经济学,
2020,经济学院,102,金融学（双学位）,辅修,金融学（辅修学位）培养方案,9491,18,67,67,1093,双学位（二年半制）,,
2020,经济学院,102,金融工程（双学位）,辅修,金融工程（辅修学位）培养方案,9492,17,64,64,1048,双学位（二年半制）,,
2020,法学院,103,法学,主修,法学培养方案,8149,149,312,160,5240,本科（四年制）,法学,法理学、中国法律史、宪法、行政法与行政诉讼法、刑法学、刑事诉讼法、民法学、民诉讼诉法、国际法、法律职业伦理、经济法、商法、知识产权法、国际私法、国际经济法、环境资源法、劳动与社会保障法、证据法、财税法学
2020,法学院,103,法学（双学位）,辅修,法学（辅修学位）培养方案,9493,20,60,60,960,双学位（二年半制）,,
2020,法学院,103,法学（知识产权方向）（双学位）,辅修,法学（知识产权方向）（辅修学位）培养方案,9494,22,60,60,972,双学位（二年半制）,,
2020,法学院,103,法学（卓越法律人才计划涉外实验班）,主修,法学（卓越法律人才计划涉外实验班）培养方案,8067,150,314,160,5272,本科（四年制）,法学,法理学、中国法律史、宪法、行政法与行政诉讼法、刑法学、刑事诉讼法、民法学、民诉讼诉法、国际法、法律职业伦理、经济法、商法、知识产权法、国际私法、国际经济法、环境资源法、劳动与社会保障法、证据法、财税法学
2020,文学与新闻学院,104,中国语言文学类,主修,中国语言文学类培养方案,8127,32,76,154,1300,本科（四年制）,文学,
2020,文学与新闻学院,104,汉语言文学,主修,汉语言文学培养方案,8010,82,204,154,3508,本科（四年制）,文学,中华文化、中国古代文学、中国现代文学、中国当代文学、外国文学、比较文学、古代汉语、现代汉语、文学理论、美学、语言学概论、写作理论与实践、文化人类学、影视艺术概论、传播学概论
2020,文学与新闻学院,104,汉语言文学（双学位）,辅修,汉语言文学（辅修学位）培养方案,9504,14,56,0,896,双学位（二年半制）,,
